seed,gapTime,headway,"Major eastbound → Major eastbound completed","Major eastbound → Major eastbound meanDelay","Major westbound → Major westbound completed","Major westbound → Major westbound meanDelay","Minor approach → Major westbound completed","Minor approach → Major westbound meanDelay","Minor approach → Major eastbound completed","Minor approach → Major eastbound meanDelay","Minor approach queue mean","Minor approach queue max",active,pending,safetyClamps
0,3,7,101,4.063469032,110,4.014230991,29,12.36367787,33,7.345945709,0.7202860302,20.22447285,0,0,10
42,3,7,97,3.969549318,121,4.048461056,19,13.60144529,26,9.373967987,0.7956017741,27.6395685,0,0,6
43,3,7,100,3.782172051,131,4.563550914,28,11.42986402,27,6.840008705,0.6680425335,19.4836021,0,0,4
4294967295,3,7,108,4.087795413,102,4.032419204,30,13.48267852,32,7.191642981,0.9557511501,34.97237878,0,0,10
0,5,7,101,3.956538339,110,3.786049173,29,46.54988476,33,28.71867298,5.686094055,61.42147647,0,0,7
42,5,7,97,3.922126638,121,3.970775106,19,21.40670844,26,13.43550645,1.555986248,27.68962984,0,0,4
43,5,7,100,3.696172051,131,4.507062364,28,20.70129259,27,11.65852722,1.785504465,35.19390369,0,0,10
4294967295,5,7,108,3.935943561,102,3.87163489,30,47.13601185,32,23.58851798,6.799441332,71.65416706,0,0,5
0,7,7,101,3.904063091,110,3.722412809,29,120.1602296,33,114.2429154,13.9700816,97.24124196,0,0,5
42,7,7,97,3.881920452,121,3.937717254,19,54.79618213,26,33.55473722,4.80213536,35.04423724,0,0,6
43,7,7,100,3.607172051,131,4.44065015,28,58.75843545,27,38.32149019,7.830252505,56.67559667,0,0,3
4294967295,7,7,108,3.900758376,102,3.834379988,30,100.7026785,32,68.37601798,18.07669231,148.9334432,0,0,6
0,5,3,101,3.956538339,110,3.786049173,29,46.54988476,33,28.71867298,5.686094055,61.42147647,0,0,7
42,5,3,97,3.922126638,121,3.970775106,19,21.40670844,26,13.43550645,1.555986248,27.68962984,0,0,4
43,5,3,100,3.696172051,131,4.507062364,28,20.70129259,27,11.65852722,1.785504465,35.19390369,0,0,10
4294967295,5,3,108,3.935943561,102,3.87163489,30,47.13601185,32,23.58851798,6.799441332,71.65416706,0,0,5
0,5,12,101,3.956538339,110,3.786049173,29,46.54988476,33,28.71867298,5.686094055,61.42147647,0,0,7
42,5,12,97,3.922126638,121,3.970775106,19,21.40670844,26,13.43550645,1.555986248,27.68962984,0,0,4
43,5,12,100,3.696172051,131,4.507062364,28,20.70129259,27,11.65852722,1.785504465,35.19390369,0,0,10
4294967295,5,12,108,3.935943561,102,3.87163489,30,47.13601185,32,23.58851798,6.799441332,71.65416706,0,0,5
