seed,gapTime,headway,"Major eastbound → Major eastbound completed","Major eastbound → Major eastbound meanDelay","Major westbound → Major westbound completed","Major westbound → Major westbound meanDelay","Minor approach → Major westbound completed","Minor approach → Major westbound meanDelay","Minor approach → Major eastbound completed","Minor approach → Major eastbound meanDelay","Major eastbound mean","Major eastbound max","Minor approach queue mean","Minor approach queue max",active,pending,safetyClamps
0,5,3,101,15.58624131,110,3.864230991,29,105.377471,33,97.56715783,4.341068583,66.83947024,13.56215977,84.36817151,0,0,7
42,5,3,97,13.96233282,121,4.017056097,19,47.55407686,26,29.83166029,3.464891483,52.85444888,3.46037925,41.34498429,0,0,8
43,5,3,100,13.64917205,131,4.487978394,28,61.15129259,27,31.82519389,3.403701909,52.73405958,8.169160181,75.56474336,0,0,6
4294967295,5,3,108,17.0766843,102,3.865752537,30,83.68267852,32,55.68851798,4.718279897,60.16200863,13.82759094,121.0391084,0,0,6
0,5,7,101,15.58723141,110,3.864230991,29,105.3878158,33,100.8095821,4.340295817,66.83947024,14.0967995,84.36817151,0,0,8
42,5,7,97,13.95099262,121,4.017056097,19,54.0751295,26,31.90858337,3.466553956,52.85444888,4.197242062,41.34498429,0,0,7
43,5,7,100,13.65117205,131,4.487978394,28,61.16557831,27,37.61778648,3.403701909,52.73405958,8.868550885,75.56474336,0,0,5
4294967295,5,7,108,17.0766843,102,3.865752537,30,83.68267852,32,56.97289298,4.718279897,60.16200863,13.98949193,121.0391084,0,0,6
0,5,12,101,16.00604329,110,3.864230991,29,105.3843675,33,101.6520063,4.448268521,66.83947024,14.16413459,84.36817151,0,0,9
42,5,12,97,13.94274519,121,4.016229651,19,54.09091897,26,38.59704491,3.466553956,52.85444888,4.472044835,41.34498429,0,0,6
43,5,12,100,13.65417205,131,4.493321906,28,69.91914974,27,62.10297167,3.393058927,52.73405958,12.28718625,78.54369217,0,0,7
4294967295,5,12,108,17.08316578,102,3.865752537,30,83.68267852,32,60.35101798,4.718279897,60.16200863,14.10061775,121.0391084,0,0,8
