seed,gapTime,headway,"Major eastbound → Major eastbound completed","Major eastbound → Major eastbound meanDelay","Major westbound → Major westbound completed","Major westbound → Major westbound meanDelay","Minor approach → Major westbound completed","Minor approach → Major westbound meanDelay","Minor approach → Major eastbound completed","Minor approach → Major eastbound meanDelay","Major eastbound mean","Major eastbound max","Minor approach queue mean","Minor approach queue max",active,pending,safetyClamps
0,5,3,101,15.60109279,110,3.867867355,29,85.49471235,33,84.64291541,4.374881072,66.83947024,10.96954056,85.22821529,0,0,2
42,5,3,97,13.9798586,121,4.031932131,19,44.84881371,26,29.12396799,3.472813509,52.85444888,3.252051561,41.34498429,0,0,1
43,5,3,100,13.65917205,131,4.502482211,28,55.94057831,27,30.70667537,3.423959428,52.73405958,7.651752394,75.5617917,0,0,1
4294967295,5,3,108,16.68038801,102,3.897125086,30,79.50267852,32,54.88851798,4.548088053,60.16200863,13.08058139,118.2279243,0,0,2
0,5,7,101,15.60208289,110,3.867867355,29,85.50505718,33,86.70352147,4.374108306,66.83947024,11.5041804,85.22821529,0,0,2
42,5,7,97,13.95820911,121,4.032758577,19,51.3751295,26,31.45089106,3.466553956,52.85444888,4.023230264,41.34498429,0,0,2
43,5,7,100,13.65717205,131,4.487978394,28,58.55843545,27,36.6326013,3.422464404,52.73405958,8.599680076,75.5617917,0,0,1
4294967295,5,7,108,16.68038801,102,3.897125086,30,79.50267852,32,56.17289298,4.548088053,60.16200863,13.24248237,118.2279243,0,0,2
0,5,12,101,15.5951522,110,3.862412809,29,85.4878158,33,87.42776389,4.370562866,66.83947024,11.69923545,87.28181898,0,0,2
42,5,12,97,13.94996169,121,4.031932131,19,51.39091897,26,38.1393526,3.466553956,52.85444888,4.306132497,41.34498429,0,0,1
43,5,12,100,13.65717205,131,4.487978394,28,63.89772116,27,61.55852722,3.407197611,52.73405958,11.7525113,78.51619523,0,0,2
4294967295,5,12,108,16.68038801,102,3.897125086,30,79.50267852,32,58.32601798,4.548088053,60.16200863,13.34700863,118.2279243,0,0,2
