seed,gapTime,headway,"Major eastbound → Major eastbound completed","Major eastbound → Major eastbound meanDelay","Major westbound → Major westbound completed","Major westbound → Major westbound meanDelay","Minor approach → Major westbound completed","Minor approach → Major westbound meanDelay","Minor approach → Major eastbound completed","Minor approach → Major eastbound meanDelay","Minor approach queue mean","Minor approach queue max",active,pending,safetyClamps
0,3,7,101,4.116934378,110,3.9333219,29,10.29471235,33,6.191400255,0.5107344231,20.22447285,0,0,1
42,3,7,97,3.994291586,121,4.050940395,19,12.30144529,26,9.158583372,0.7366894123,27.6395685,0,0,0
43,3,7,100,3.806172051,131,4.593321906,28,11.09772116,27,6.580749446,0.6547944323,29.0733486,0,0,0
4294967295,3,7,108,4.17483245,102,4.191242733,30,11.70601185,32,6.722892981,0.8802605893,31.14977781,0,0,0
0,5,7,101,3.998122497,110,3.810594627,29,45.70850545,33,27.05503662,5.524335907,61.42147647,0,0,0
42,5,7,97,3.919033854,121,3.992262709,19,19.16986634,26,12.98166029,1.419018796,27.68962984,0,0,0
43,5,7,100,3.679172051,131,4.526909692,28,17.56914974,27,10.70667537,1.483621944,36.64796884,0,0,0
4294967295,5,7,108,3.948906524,102,3.903007439,30,44.42601185,32,22.51351798,6.527967554,71.65419882,0,0,0
0,7,7,101,3.909013586,110,3.717867355,29,112.0429882,33,103.9004912,15.29245949,146.8538881,0,0,1
42,7,7,97,3.88295138,121,3.945981717,19,43.95407686,26,28.68550645,3.640289306,34.53699436,0,0,0
43,7,7,100,3.607172051,131,4.44065015,28,58.75843545,27,37.9400087,7.830252505,56.67559667,0,0,1
4294967295,7,7,108,3.886869487,102,3.831438812,30,98.58267852,32,66.94164298,17.63327315,148.9334432,0,0,0
0,5,3,101,3.998122497,110,3.810594627,29,45.70850545,33,27.05503662,5.524335907,61.42147647,0,0,0
42,5,3,97,3.919033854,121,3.992262709,19,19.16986634,26,12.98166029,1.419018796,27.68962984,0,0,0
43,5,3,100,3.679172051,131,4.526909692,28,17.56914974,27,10.70667537,1.483621944,36.64796884,0,0,0
4294967295,5,3,108,3.948906524,102,3.903007439,30,44.42601185,32,22.51351798,6.527967554,71.65419882,0,0,0
0,5,12,101,3.998122497,110,3.810594627,29,45.70850545,33,27.05503662,5.524335907,61.42147647,0,0,0
42,5,12,97,3.919033854,121,3.992262709,19,19.16986634,26,12.98166029,1.419018796,27.68962984,0,0,0
43,5,12,100,3.679172051,131,4.526909692,28,17.56914974,27,10.70667537,1.483621944,36.64796884,0,0,0
4294967295,5,12,108,3.948906524,102,3.903007439,30,44.42601185,32,22.51351798,6.527967554,71.65419882,0,0,0
